millis,brake_active,aX,aY,aZ,tmp,gX,gY,gZ
3948,0,5012,-16088,2200,18.79,-1372,-788,-207
3955,0,4828,-16200,2684,18.74,-1402,-1012,-144
3962,0,4928,-16336,2680,18.79,-1487,-1066,-108
3968,0,5044,-16620,2580,18.69,-1534,-1063,-106
3975,0,5048,-16728,2624,18.69,-1602,-981,-58
3982,0,4952,-16656,2376,18.6,-1685,-847,-82
3989,0,5052,-16748,2260,18.74,-1725,-819,12
3996,0,4888,-16696,1956,18.65,-1726,-748,17
4002,0,4908,-16400,1948,18.74,-1762,-768,24
4011,0,4700,-16268,2084,18.84,-1915,-778,3
4018,0,4664,-16248,1792,18.69,-1951,-836,28
4025,0,4648,-16152,1804,18.84,-2009,-829,16
4032,0,4680,-15928,1820,18.74,-2113,-880,15
4038,0,4360,-15880,2136,18.69,-2184,-819,27
4045,0,4348,-15944,1480,18.69,-2250,-758,18
4053,0,4328,-15928,1372,18.74,-2303,-721,19
4060,0,4336,-15988,1348,18.69,-2362,-638,4
4068,0,4400,-16188,1572,18.69,-2397,-641,-9
4075,0,4240,-16268,1376,18.74,-2465,-509,-59
4082,0,4184,-16164,1312,18.74,-2486,-443,-37
4089,0,4376,-16224,1028,18.69,-2514,-392,-60
4096,0,4248,-16304,1144,18.74,-2504,-353,-98
4102,0,4140,-16464,716,18.69,-2461,-316,-124
4109,0,4284,-16376,556,18.65,-2424,-382,-116
4116,0,4420,-16396,844,18.74,-2378,-455,-172
4123,0,4548,-16460,572,18.79,-2319,-500,-163
4132,0,4376,-16452,1008,18.6,-2324,-516,-186
4138,0,4332,-16392,792,18.74,-2350,-458,-196
4145,0,4212,-16288,992,18.69,-2311,-317,-179
4152,0,4156,-16232,652,18.65,-2321,-258,-193
4159,0,4184,-16092,868,18.74,-2299,-227,-208
4166,0,4272,-16028,756,18.69,-2335,-218,-221
4173,0,3964,-16240,864,18.74,-2361,-247,-247
4200,0,4032,-16124,704,18.69,-2386,-236,-352
4208,0,4156,-16184,748,18.79,-2352,-250,-373
4215,0,4044,-16368,604,18.84,-2372,-254,-370
4222,0,4040,-16472,668,18.79,-2390,-248,-410
4229,0,4056,-16428,920,18.84,-2435,-256,-426
4236,0,4260,-16568,704,18.84,-2417,-196,-439
4243,0,4340,-16568,464,18.79,-2354,-202,-466
4250,0,4360,-16364,868,18.69,-2415,-267,-488
4257,0,4472,-16520,648,18.74,-2392,-310,-484
4264,0,4420,-16676,608,18.69,-2412,-376,-447
4273,0,4528,-16448,728,18.84,-2389,-453,-447
4280,0,4488,-16364,868,18.69,-2438,-460,-436
4287,0,4464,-16328,984,18.69,-2473,-483,-467
4294,0,4560,-16296,1016,18.65,-2537,-476,-469
4301,0,4420,-16392,1012,18.74,-2546,-456,-442
4308,0,4488,-16180,940,18.79,-2601,-493,-424
4315,0,4472,-16224,764,18.79,-2636,-524,-408
4321,0,4576,-16184,884,18.84,-2698,-591,-435
4330,0,4500,-16296,820,18.79,-2701,-697,-418
4337,0,4532,-16316,800,18.79,-2738,-637,-360
4344,0,4508,-16400,548,18.69,-2789,-704,-372
4351,0,4464,-16528,332,18.69,-2812,-716,-383
4358,0,4616,-16328,288,18.88,-2816,-800,-360
4365,0,4628,-16320,128,18.69,-2805,-903,-356
4372,0,4752,-16248,296,18.74,-2747,-1018,-300
4379,0,4608,-16060,668,18.65,-2861,-939,-295
4386,0,4552,-16340,84,18.79,-2834,-891,-308
4395,0,4396,-16412,-244,18.74,-2818,-886,-307
4408,0,4324,-16428,-268,18.79,-2792,-810,-323
4419,0,4352,-16200,-348,18.74,-2781,-833,-327
4430,0,4404,-16224,-772,18.74,-2738,-840,-304
4442,0,4400,-16080,-920,18.79,-2653,-855,-326
4454,0,4156,-16132,-892,18.84,-2599,-808,-367
4466,0,4228,-16108,-1312,18.88,-2502,-668,-362
4478,0,4492,-15828,-1664,18.74,-2341,-676,-361
4502,0,4884,-15728,-2604,18.84,-1808,-815,-296
4524,0,4628,-15872,-2496,18.84,-1528,-167,-185
4533,0,4488,-15900,-2264,18.79,-1405,40,-154
4543,0,4660,-15928,-1956,18.74,-1253,72,-92
4552,0,4784,-15980,-2144,18.79,-1167,103,-73
4561,0,4676,-15956,-1936,18.88,-1047,-24,-97
4569,0,4536,-15736,-2132,18.74,-950,-159,-87
4578,0,4324,-15836,-1972,18.88,-855,-225,-115
4587,0,4532,-15932,-1732,18.79,-847,-108,-126
4598,0,4552,-15916,-1856,18.69,-752,31,-152
4607,0,4676,-15952,-1676,18.79,-626,72,-150
4617,0,4636,-16072,-1552,18.79,-526,68,-125
4626,0,4764,-16148,-1144,18.84,-496,137,-146
4635,0,4736,-16392,-1008,18.84,-447,237,-145
4644,0,4552,-16324,-944,18.79,-410,320,-149
4654,0,4656,-16412,-548,18.69,-457,383,-151
4663,0,4644,-16368,-460,18.84,-422,388,-146
4675,0,4664,-16364,-468,18.79,-457,301,-183
4684,0,4652,-16316,-384,18.74,-443,204,-149
4693,0,4664,-16128,-336,18.84,-452,195,-178
4702,0,4584,-16188,-424,18.88,-464,196,-194
4711,0,4664,-16184,-356,18.74,-494,206,-135
4720,0,4596,-16272,-356,18.84,-482,195,-141
4729,0,4616,-16332,-340,18.84,-461,179,-143
4738,0,4668,-16352,-420,18.69,-478,223,-117
4747,0,4608,-16328,-388,18.79,-419,207,-90
4759,0,4516,-16200,-320,18.79,-468,209,-75
4768,0,4416,-16372,-276,18.79,-457,255,-95
4777,0,4640,-16380,-140,18.84,-505,276,-55
4799,0,4568,-16376,-264,18.74,-527,261,1
4808,0,4376,-16256,-396,18.74,-503,302,-5
4817,0,4484,-16468,-88,18.84,-575,302,-29
4826,0,4384,-16436,-56,18.79,-554,291,-23
4835,0,4472,-16376,-156,18.79,-575,258,-61
4847,0,4304,-16384,0,18.84,-652,215,-52
4856,0,4276,-16440,136,18.88,-712,228,-45
4865,0,4340,-16500,328,18.79,-811,195,-52
4875,0,4384,-16480,152,18.84,-895,136,-125
4885,0,4332,-16464,-12,18.88,-950,28,-127
4894,0,4252,-16396,-160,18.84,-936,-75,-146
4903,0,4344,-16320,-164,18.84,-928,-90,-174
4912,0,4304,-16348,-76,18.84,-1025,-86,-199
4921,0,4416,-16504,-216,18.84,-1058,-132,-218
4932,0,4288,-16364,-208,18.74,-1114,-170,-227
4942,0,4336,-16452,-280,18.88,-1184,-163,-244
4951,0,4428,-16424,-220,18.79,-1240,-238,-271
4960,0,4400,-16364,-172,18.74,-1293,-221,-256
4969,0,4344,-16500,-384,18.84,-1327,-212,-261
4978,0,4416,-16320,-340,18.88,-1360,-212,-264
4988,0,4360,-16276,-500,18.84,-1365,-251,-309
4997,0,4404,-16340,-580,18.79,-1298,-212,-287
5006,0,4464,-16244,-628,18.84,-1319,-259,-264
5017,0,4532,-16192,-532,18.74,-1269,-277,-237
5026,0,4496,-16328,-972,18.84,-1163,-272,-261
5036,0,4524,-16208,-1056,18.79,-1105,-266,-248
5045,0,4488,-16116,-1108,18.84,-1073,-259,-208
5054,0,4540,-16056,-1228,18.79,-1008,-215,-204
5076,0,4496,-16036,-964,18.84,-942,-112,-166
5086,0,4356,-16156,-896,18.84,-945,-78,-183
5095,0,4252,-16216,-1012,18.84,-970,-75,-137
5106,0,4296,-16236,-1084,18.79,-946,-15,-164
5115,0,4196,-16188,-720,18.79,-927,-20,-189
5125,0,4368,-16404,-844,18.79,-880,-29,-215
5134,0,4480,-16324,-868,18.93,-869,-62,-193
5143,0,4408,-16348,-488,18.88,-924,-70,-230
5152,0,4316,-16352,-500,18.79,-875,-48,-230
5161,0,4368,-16364,-1044,18.79,-806,-14,-234
5170,0,4580,-16264,-768,18.74,-809,-80,-249
5179,0,4576,-16212,-668,18.79,-854,-116,-252
5198,0,4572,-16256,-588,18.74,-872,-122,-265
5207,0,4696,-16288,-716,18.88,-920,-122,-225
5216,0,4700,-16212,-712,18.79,-915,-103,-213
5225,0,4644,-16152,-980,18.84,-913,-59,-213
5234,0,4536,-16140,-944,18.79,-885,-28,-219
5243,0,4540,-16196,-904,18.84,-879,-9,-209
5253,0,4524,-16276,-732,18.88,-883,-5,-217
5262,0,4548,-16272,-820,18.84,-837,-30,-183
